区域,中心城市,经度,纬度,订单量,热力等级
华东,上海,121.4737,31.2304,28640,高
华东,杭州,120.1551,30.2741,21480,高
华东,南京,118.7969,32.0603,18420,高
华东,苏州,120.5853,31.2989,17680,高
华东,宁波,121.5503,29.8746,12680,中高
华南,广州,113.2644,23.1291,23620,高
华南,深圳,114.0579,22.5431,22860,高
华南,佛山,113.1214,23.0215,11880,中高
华北,北京,116.4074,39.9042,19420,中高
华北,天津,117.2009,39.0842,13280,中高
华北,石家庄,114.5149,38.0428,9680,中
华中,武汉,114.3055,30.5928,17680,中高
华中,郑州,113.6254,34.7466,14260,中高
华中,长沙,112.9388,28.2282,10420,中
西南,成都,104.0668,30.5728,16240,中
西南,重庆,106.5516,29.563,12860,中
西南,贵阳,106.6302,26.6477,7860,中低
西北,西安,108.9398,34.3416,11860,中
西北,兰州,103.8343,36.0611,6680,中低
东北,沈阳,123.4315,41.8057,9860,中低
东北,长春,125.3235,43.8171,6240,中低
东南,厦门,118.0894,24.4798,8960,中低
东南,福州,119.2965,26.0745,8420,中低
新疆,乌鲁木齐,87.6168,43.8256,4860,低
